image_path,unified_label,fst_group,split,dataset_source,has_disease_label
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-19.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-20.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-46.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-47.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-53.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-6.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-cheilitis-sq-cell-lip-9.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-10.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-13.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-15.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-19.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-28.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-32.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-35.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-38.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-42.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-50.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-55.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-58.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-61.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-5FU-65.jpg,BCC,0,test,dermnet,True
data\DermNet\test\Actinic Keratosis Basal Cell Carcinoma and other Malignant Lesions\actinic-keratosis-arm-2.jpg,BCC,0,test,dermnet,True
